actors,director,movie_id,movie_name,score,year
,Damien Chazelle,2582802,Whiplash,8.470203477658762,2014
,Olivier Nakache,1675434,The Intouchables,8.47826038032472,2011
,Martin Scorsese,407887,The Departed,8.476987611168854,2006
,James Cameron,103064,Terminator 2: Judgment Day,8.47508379591321,1991
,Sergio Leone,64116,Once Upon a Time in the West,8.488981156394281,1968
,Roger Allers,110357,The Lion King,8.46892399727406,1994
,Alfred Hitchcock,54215,Psycho,8.498374262745962,1960
,Tony Kaye,120586,American History X,8.497154976531109,1998
,Charles Chaplin,21749,City Lights,8.49312707156917,1931
,Michael Curtiz,34583,Casablanca,8.4912304899857,1942
,Bryan Singer,114814,The Usual Suspects,8.537259409877635,1995
,Christopher Nolan,816692,Interstellar,8.514099894499385,2014
,Luc Besson,110413,Léon: The Professional,8.53022833556495,1994
,Frank Darabont,120689,The Green Mile,8.515213667812425,1999
,Steven Spielberg,120815,Saving Private Ryan,8.541486560554642,1998
,Hayao Miyazaki,245429,Spirited Away,8.543161609058512,2001
,Roberto Benigni,118799,Life Is Beautiful,8.568741553761196,1997
,Martin Scorsese,99685,Goodfellas,8.657313225702673,1990
,Lana Wachowski,133093,The Matrix,8.645268361441907,1999
,Jonathan Demme,102926,The Silence of the Lambs,8.588303165292235,1991
,Frank Capra,38650,It's a Wonderful Life,8.575940307625995,1946
,Christopher Nolan,1375666,Inception,8.719394453678195,2010
,Akira Kurosawa,47478,Seven Samurai,8.626629731259918,1954
,Peter Jackson,167261,The Lord of the Rings: The Two Towers,8.690499676863636,2002
,Irvin Kershner,80684,Star Wars: Episode V - The Empire Strikes Back,8.72000136116333,1980
,Milos Forman,73486,One Flew Over the Cuckoo's Nest,8.663427645764742,1975
